    PID TTY      STAT   TIME COMMAND
   5491 ?        Sl     0:10 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=22 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5509 ?        Sl     0:09 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=23 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5530 ?        Sl     0:12 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=24 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5545 ?        Sl     0:10 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=25 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5575 ?        Sl     0:10 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=26 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5589 ?        Sl     0:11 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=27 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5670 ?        Sl     0:10 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=28 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5684 ?        Sl     0:11 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=29 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5734 ?        Sl     0:10 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=30 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5752 ?        Sl     0:10 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=31 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5794 ?        Sl     1:07 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=40 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   7450 ?        SLl    0:00 /usr/bin/seahorse --gapplication-service
   7451 ?        Sl     0:00 /usr/bin/gnome-calendar --gapplication-service
   7512 ?        SLs    0:00 /usr/bin/gpg-agent --supervised
   9425 ?        Sl     0:01 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --service-sandbox-type=none --shared-files=v8_context_snapshot_data:100
  13235 ?        Rsl    1:24 /usr/libexec/gnome-terminal-server
  13243 pts/0    Ss     0:00 bash
